model,fold,accuracy,roc_auc,brier,logloss,ece,kl_rel
DBN,1,0.8068,0.905535591444639,0.11724303672420833,0.36755625225338034,0.08682426934596765,0.4789521435389583
DBN,2,0.8012,0.8970153619786568,0.12105811619298308,0.37644704712181054,0.09034559356635571,0.5046531945962933
DBN,3,0.8038,0.9010599115470886,0.11882276423077127,0.3704937867895132,0.08683959154952284,0.44228930634164243
DBN,4,0.7982,0.8954088875097179,0.12013310225317486,0.3758472991324647,0.08148095962844609,0.14970828184069038
DBN,5,0.7977,0.898025621401799,0.12197617908327042,0.3773666319197562,0.09094666793014217,0.4596835609243322
