model,fold,train_structure_sec,train_params_sec,infer_sec
GP,1,7.9697747230529785,0.0,1.7284750938415528e-05
GP,2,7.493570327758789,0.0,1.720266342163086e-05
GP,3,8.514051914215088,0.0,1.8834924697875975e-05
GP,4,8.364227056503296,0.0,1.7600345611572267e-05
GP,5,8.338539600372314,0.0,1.902179718017578e-05
