model,fold,accuracy,roc_auc,brier,logloss,ece,kl_rel
GP,1,0.9212,0.9755439526628392,0.07547121489956046,0.2627416974957938,0.11297767646127856,0.9488450041878298
GP,2,0.9176,0.9749788951810117,0.07375265245209228,0.2551138638332424,0.10478765922638059,0.9742958863908423
GP,3,0.9283,0.9780833637254649,0.07450768338113824,0.2621990685190007,0.12136927006166505,0.8809503969289318
GP,4,0.923,0.9746266930836593,0.07676680133808614,0.2685745745685938,0.11746152525735318,0.8645364496792055
GP,5,0.9208,0.9734071263157373,0.07878142610141899,0.2731885715184862,0.11623682021980095,0.742841701902591
