model,fold,train_structure_sec,train_params_sec,infer_sec
GP,1,3.003702402114868,0.0,2.9234769867687692e-05
GP,2,2.9421048164367676,0.0,2.8931222310880335e-05
GP,3,2.992777109146118,0.0,2.840204936702077e-05
GP,4,3.0316293239593506,0.0,2.8370647895626907e-05
GP,5,3.0310299396514893,0.0,2.8890516699814214e-05
